"","ID","OutcomeType","AnimalType","HasName","AgeinDays","IsMix","SimpleColor","IsNeutered","Gender"
"8020","A692362","Transfer","Dog",0,"Less than a year",1,26,0,"F"
"8021","A694004","Adoption","Dog",1,"Less than a year",1,5,1,"M"
"8023","A710468","Transfer","Cat",1,"Less than a year",1,3,0,"M"
"8024","A697180","Return_to_owner","Dog",1,"Over 3 years",1,9,1,"M"
"8025","A701286","Transfer","Cat",0,"Less than a year",1,27,0,"F"
"8026","A664127","Transfer","Cat",1,"Less than a year",1,7,0,"F"
"8027","A691285","Adoption","Cat",1,"Less than a year",1,3,1,"M"
"8028","A717522","Adoption","Dog",1,"Less than 2 years",1,3,1,"F"
"8029","A701143","Euthanasia","Cat",0,"Over 3 years",1,8,0,"M"
"8032","A702041","Adoption","Dog",1,"Less than 2 years",1,23,1,"M"
"8033","A701553","Transfer","Dog",1,"Less than a year",1,3,1,"F"
"8034","A690472","Transfer","Dog",0,"Less than a year",1,27,0,"F"
"8035","A703784","Adoption","Dog",1,"Less than a year",1,3,1,"M"
"8036","A719515","Adoption","Cat",1,"Less than a year",1,3,1,"F"
"8037","A713082","Died","Cat",0,"Less than a year",1,3,0,"M"
"8038","A714106","Transfer","Dog",1,"Less than a year",1,27,1,"M"
"8039","A710196","Euthanasia","Cat",0,"Less than a year",1,4,0,"M"
"8040","A680372","Euthanasia","Cat",0,"Less than a year",0,5,0,"F"
"8042","A683440","Transfer","Cat",0,"Less than a year",1,24,0,"F"
"8043","A695223","Transfer","Cat",1,"Less than a year",1,27,1,"M"
"8044","A675579","Transfer","Dog",0,"Less than a year",1,5,0,"M"
"8045","A666152","Transfer","Dog",1,"Less than a year",1,6,1,"M"
"8046","A684578","Return_to_owner","Dog",0,"Less than a year",1,23,0,"F"
"8047","A675886","Return_to_owner","Dog",1,"Over 3 years",1,18,1,"F"
"8048","A700366","Return_to_owner","Dog",0,"Less than 3 years",1,3,1,"F"
"8049","A701813","Return_to_owner","Dog",1,"Less than a year",1,3,0,"M"
"8052","A688494","Transfer","Cat",1,"Less than a year",1,3,0,"F"
"8053","A675033","Adoption","Dog",0,"Less than a year",1,22,1,"M"
"8054","A716976","Transfer","Cat",1,"Less than a year",1,5,1,"M"
"8055","A688465","Adoption","Dog",1,"Less than a year",1,5,1,"M"
"8056","A692416","Euthanasia","Dog",0,"Less than 2 years",1,5,0,"F"
"8057","A689889","Adoption","Cat",1,"Less than a year",1,3,1,"F"
"8058","A714124","Transfer","Cat",0,"Less than a year",1,17,0,"M"
"8060","A676661","Euthanasia","Dog",1,"Less than 3 years",1,3,1,"F"
"8061","A676755","Adoption","Dog",0,"Less than a year",1,26,1,"M"
"8062","A607523","Return_to_owner","Dog",1,"Over 3 years",1,27,1,"M"
"8064","A655902","Return_to_owner","Dog",1,"Less than 3 years",1,27,1,"M"
"8065","A693798","Adoption","Dog",1,"Less than a year",1,5,1,"M"
"8067","A666677","Died","Cat",1,"Less than a year",1,17,0,"M"
"8070","A671487","Adoption","Dog",1,"Over 3 years",1,18,1,"F"
"8071","A697188","Adoption","Dog",1,"Over 3 years",1,3,1,"M"
"8072","A698441","Transfer","Cat",0,"Less than a year",1,17,1,"M"
"8077","A664271","Transfer","Cat",0,"Less than a year",1,17,0,"F"
"8079","A711894","Return_to_owner","Dog",1,"Less than 2 years",1,3,1,"F"
"8080","A650999","Return_to_owner","Cat",1,"Over 3 years",1,25,1,"F"
"8081","A676201","Return_to_owner","Dog",1,"Less than a year",1,12,0,"M"
"8083","A665970","Transfer","Dog",1,"Less than 2 years",1,5,1,"M"
"8084","A718400","Transfer","Dog",0,"Less than a year",1,28,0,"F"
"8085","A687358","Adoption","Dog",1,"Less than a year",1,3,1,"F"
"8086","A683051","Transfer","Dog",1,"Over 3 years",1,4,1,"F"
"8087","A666401","Adoption","Dog",1,"Over 3 years",1,26,1,"M"
"8088","A668301","Return_to_owner","Dog",0,"Less than 3 years",1,3,1,"F"
"8089","A662277","Adoption","Cat",1,"Less than a year",1,5,1,"M"
"8090","A704249","Adoption","Dog",1,"Less than 3 years",1,3,1,"M"
"8093","A715193","Return_to_owner","Dog",1,"Less than a year",1,5,1,"M"
"8094","A693518","Transfer","Cat",1,"Over 3 years",1,3,1,"M"
"8095","A701509","Transfer","Cat",1,"Less than a year",1,5,0,"M"
"8097","A706245","Transfer","Cat",0,"Less than a year",1,25,0,"F"
"8098","A706181","Return_to_owner","Dog",1,"Less than a year",1,5,1,"F"
"8100","A700622","Adoption","Dog",1,"Less than a year",1,3,1,"M"
"8101","A705077","Transfer","Cat",0,"Less than a year",1,25,0,"F"
"8103","A362103","Return_to_owner","Dog",1,"Over 3 years",1,5,1,"M"
"8105","A427782","Return_to_owner","Dog",1,"Over 3 years",0,23,1,"M"
"8106","A709477","Transfer","Dog",0,"Less than a year",1,5,0,"F"
"8107","A701995","Adoption","Dog",1,"Over 3 years",1,6,1,"F"
"8108","A663983","Transfer","Dog",0,"Less than a year",1,3,0,"F"
"8110","A691239","Adoption","Dog",1,"Less than a year",1,3,1,"M"
"8112","A713752","Transfer","Cat",1,"Less than a year",1,7,1,"F"
"8113","A673444","Adoption","Cat",1,"Less than a year",1,8,1,"F"
"8114","A718993","Adoption","Dog",1,"Less than a year",1,13,1,"F"
"8116","A682365","Adoption","Dog",0,"Less than a year",1,23,1,"F"
"8118","A690862","Return_to_owner","Cat",0,"Less than 2 years",1,16,1,"M"
"8120","A706880","Transfer","Dog",1,"Less than a year",1,5,1,"M"
"8121","A531379","Return_to_owner","Dog",1,"Over 3 years",1,27,1,"M"
"8122","A717466","Transfer","Cat",1,"Less than a year",1,9,1,"F"
"8123","A664668","Adoption","Dog",1,"Less than a year",1,27,1,"F"
"8124","A679467","Return_to_owner","Dog",1,"Less than 2 years",1,3,1,"F"
"8125","A670795","Transfer","Cat",1,"Less than a year",1,8,0,"F"
"8126","A666120","Return_to_owner","Dog",1,"Less than a year",1,27,1,"M"
"8127","A680233","Transfer","Cat",0,"Less than a year",1,5,0,"M"
"8128","A691517","Transfer","Cat",0,"Less than a year",1,17,0,"F"
"8129","A710127","Transfer","Cat",0,"Less than a year",1,17,0,"F"
"8131","A663968","Adoption","Dog",0,"Less than a year",1,5,1,"F"
"8134","A691700","Transfer","Cat",0,"Less than a year",1,5,0,"F"
"8135","A608475","Euthanasia","Dog",1,"Less than 3 years",1,10,1,"M"
"8136","A684066","Euthanasia","Cat",0,"Less than a year",1,3,0,"M"
"8137","A706058","Adoption","Cat",1,"Less than a year",1,17,1,"M"
"8143","A718363","Adoption","Dog",1,"Less than a year",1,20,1,"F"
"8146","A685493","Transfer","Cat",1,"Less than a year",1,17,1,"M"
"8147","A713422","Euthanasia","Cat",0,"Over 3 years",1,5,1,"M"
"8148","A713481","Adoption","Dog",1,"Less than 2 years",0,27,1,"F"
"8150","A713138","Transfer","Cat",1,"Less than a year",1,25,1,"F"
"8151","A710543","Transfer","Cat",0,"Over 3 years",1,17,1,"M"
"8153","A678519","Adoption","Cat",1,"Less than a year",1,7,1,"F"
"8154","A701750","Adoption","Cat",1,"Less than a year",1,5,1,"F"
"8157","A674368","Return_to_owner","Dog",1,"Over 3 years",1,23,1,"M"
"8159","A669896","Adoption","Dog",1,"Less than 2 years",1,27,1,"M"
"8160","A615152","Adoption","Dog",1,"Less than 3 years",1,3,1,"F"
"8161","A668000","Transfer","Dog",1,"Less than a year",1,3,0,"M"
"8162","A705027","Adoption","Dog",1,"Less than 2 years",1,26,1,"F"
"8163","A678283","Transfer","Dog",1,"Over 3 years",1,13,1,"F"
"8165","A667633","Transfer","Dog",0,"Less than a year",1,3,0,"F"
"8166","A713008","Return_to_owner","Dog",1,"Less than 2 years",1,27,0,"M"
"8168","A665498","Adoption","Dog",1,"Less than 3 years",1,4,1,"F"
"8169","A702134","Transfer","Dog",1,"Over 3 years",1,3,1,"F"
"8170","A718992","Adoption","Dog",1,"Less than a year",1,27,1,"M"
"8172","A667397","Transfer","Dog",1,"Less than a year",0,26,1,"F"
"8174","A664711","Euthanasia","Cat",0,"Over 3 years",1,25,0,"F"
"8175","A699110","Adoption","Cat",1,"Less than a year",1,5,1,"F"
"8176","A666248","Transfer","Cat",1,"Less than a year",1,5,0,"F"
"8177","A688025","Return_to_owner","Dog",1,"Over 3 years",1,2,1,"M"
"8179","A681627","Return_to_owner","Cat",1,"Less than 2 years",1,17,0,"M"
"8180","A675223","Return_to_owner","Dog",1,"Over 3 years",1,3,0,"F"
"8182","A710258","Adoption","Dog",0,"Less than a year",1,5,1,"M"
"8183","A712222","Euthanasia","Cat",0,"Over 3 years",1,9,1,"M"
"8184","A698665","Return_to_owner","Dog",1,"Over 3 years",1,5,1,"F"
"8185","A705108","Adoption","Cat",1,"Less than a year",1,5,1,"F"
"8187","A671565","Transfer","Cat",0,"Less than a year",1,5,1,"F"
"8188","A718273","Adoption","Cat",1,"Less than 2 years",1,5,1,"F"
"8189","A672157","Adoption","Cat",1,"Less than a year",1,17,1,"M"
"8190","A679845","Transfer","Dog",0,"Less than 3 years",1,23,1,"M"
"8191","A713355","Return_to_owner","Dog",1,"Over 3 years",1,10,1,"F"
"8192","A677282","Adoption","Cat",1,"Less than a year",1,3,1,"M"
"8193","A694541","Adoption","Cat",1,"Less than a year",1,24,1,"F"
"8195","A678286","Adoption","Dog",1,"Less than a year",1,3,1,"F"
"8196","A684766","Adoption","Dog",1,"Less than a year",1,27,1,"M"
"8198","A664138","Adoption","Dog",1,"Less than 3 years",1,3,1,"M"
"8199","A661068","Transfer","Dog",1,"Over 3 years",1,26,1,"M"
"8201","A641781","Adoption","Dog",1,"Less than 3 years",1,8,1,"F"
"8204","A689064","Transfer","Dog",0,"Less than a year",1,6,0,"F"
"8206","A683735","Transfer","Cat",0,"Less than a year",1,3,0,"F"
"8207","A680808","Adoption","Dog",1,"Less than a year",1,5,1,"M"
"8208","A634925","Return_to_owner","Dog",1,"Less than 3 years",1,4,1,"F"
"8209","A686610","Return_to_owner","Dog",1,"Less than 2 years",1,3,1,"M"
"8210","A713404","Return_to_owner","Dog",1,"Less than a year",1,3,0,"M"
"8211","A719158","Adoption","Cat",1,"Less than 2 years",1,5,1,"M"
"8212","A694967","Return_to_owner","Dog",1,"Over 3 years",1,20,1,"F"
"8214","A690356","Adoption","Dog",1,"Less than a year",1,3,1,"M"
"8215","A443497","Transfer","Dog",1,"Over 3 years",1,27,1,"F"
"8216","A691724","Transfer","Dog",1,"Less than a year",1,27,1,"F"
"8217","A679030","Transfer","Cat",1,"Less than 3 years",1,5,0,"M"
"8218","A681772","Adoption","Cat",1,"Less than a year",1,5,1,"F"
"8220","A679836","Return_to_owner","Dog",1,"Less than 2 years",1,27,0,"F"
"8221","A695972","Adoption","Dog",1,"Less than a year",1,28,1,"F"
"8222","A715990","Return_to_owner","Dog",1,"Less than 3 years",1,26,0,"M"
"8223","A678557","Adoption","Dog",1,"Less than a year",1,26,1,"F"
"8224","A680162","Adoption","Dog",1,"Less than a year",1,20,1,"F"
"8225","A678840","Transfer","Cat",0,"Less than a year",1,24,0,"F"
"8226","A714651","Transfer","Cat",0,"Less than a year",1,5,0,"M"
"8227","A709312","Adoption","Dog",0,"Less than a year",1,3,1,"F"
"8228","A621530","Return_to_owner","Dog",1,"Over 3 years",1,18,1,"M"
"8230","A714078","Transfer","Dog",1,"Less than a year",1,5,1,"F"
"8232","A664346","Transfer","Cat",0,"Less than a year",1,3,0,"M"
"8234","A705607","Transfer","Cat",1,"Less than a year",1,5,1,"M"
"8235","A706967","Adoption","Dog",1,"Less than 3 years",1,26,1,"M"
"8236","A696412","Adoption","Cat",1,"Less than a year",1,5,1,"M"
"8237","A701094","Transfer","Cat",0,"Less than a year",1,5,0,"M"
"8238","A679969","Adoption","Cat",1,"Less than a year",1,5,1,"M"
"8240","A670744","Transfer","Cat",1,"Over 3 years",1,3,1,"F"
"8242","A715583","Adoption","Dog",1,"Over 3 years",1,26,1,"F"
"8243","A708902","Transfer","Dog",1,"Less than 2 years",1,4,1,"F"
"8244","A668452","Transfer","Dog",0,"Less than a year",0,2,1,"M"
"8249","A689465","Return_to_owner","Dog",1,"Less than 3 years",1,18,1,"F"
"8250","A720376","Transfer","Cat",0,"Less than 2 years",1,25,0,"F"
"8251","A701463","Adoption","Dog",1,"Less than a year",1,3,1,"M"
"8252","A674236","Euthanasia","Dog",1,"Over 3 years",1,10,0,"F"
"8253","A656318","Adoption","Cat",1,"Less than a year",1,3,1,"M"
"8254","A717895","Transfer","Dog",0,"Less than 2 years",1,27,0,"F"
"8255","A651130","Transfer","Dog",1,"Less than 2 years",1,18,1,"M"
"8256","A684684","Adoption","Cat",1,"Less than a year",1,5,1,"F"
"8258","A699697","Return_to_owner","Dog",1,"Less than 3 years",1,26,1,"F"
"8259","A688748","Transfer","Cat",0,"Less than a year",1,5,0,"F"
"8260","A667843","Return_to_owner","Cat",1,"Less than 2 years",1,4,1,"M"
"8261","A674423","Transfer","Dog",0,"Less than a year",1,27,1,"M"
"8262","A666094","Adoption","Dog",0,"Over 3 years",1,3,1,"F"
"8267","A695370","Adoption","Cat",1,"Less than a year",1,5,1,"F"
"8269","A681416","Adoption","Dog",0,"Less than a year",1,22,1,"F"
"8270","A663388","Return_to_owner","Dog",1,"Less than 3 years",1,26,1,"M"
"8271","A702544","Adoption","Dog",1,"Less than a year",1,5,1,"F"
"8272","A698983","Transfer","Cat",0,"Less than a year",1,24,0,"F"
"8274","A690953","Transfer","Dog",1,"Less than 2 years",1,3,1,"M"
"8275","A664565","Transfer","Cat",0,"Less than a year",1,5,0,"M"
"8276","A696391","Return_to_owner","Dog",1,"Less than a year",1,3,1,"M"
"8278","A686232","Transfer","Dog",0,"Less than a year",1,23,0,"F"
"8279","A695397","Return_to_owner","Cat",1,"Less than 3 years",1,4,1,"F"
"8280","A704493","Transfer","Dog",0,"Less than a year",1,3,0,"M"
"8281","A714624","Adoption","Cat",0,"Less than a year",1,4,1,"M"
"8286","A684367","Adoption","Cat",1,"Less than a year",1,25,1,"F"
"8287","A556804","Adoption","Cat",1,"Over 3 years",1,3,1,"F"
"8288","A683875","Transfer","Cat",0,"Less than a year",1,4,0,"M"
"8289","A701305","Euthanasia","Dog",0,"Less than a year",1,27,0,"F"
"8290","A674023","Adoption","Dog",1,"Less than a year",1,18,1,"F"
"8291","A659036","Transfer","Dog",1,"Over 3 years",1,8,1,"M"
"8292","A707164","Adoption","Cat",0,"Less than a year",1,22,1,"F"
"8293","A705283","Transfer","Cat",0,"Less than a year",1,27,0,"M"
"8294","A664281","Transfer","Cat",0,"Less than 2 years",1,5,0,"M"
"8295","A705687","Return_to_owner","Dog",1,"Over 3 years",1,27,1,"M"
"8296","A703916","Transfer","Cat",1,"Less than a year",1,5,1,"F"
"8297","A685141","Transfer","Cat",0,"Less than a year",1,7,0,"F"
"8298","A640790","Transfer","Dog",1,"Less than 2 years",1,3,1,"F"
"8299","A669579","Transfer","Cat",1,"Less than 2 years",1,27,1,"F"
"8303","A701336","Transfer","Dog",0,"Less than a year",1,23,0,"F"
"8304","A720557","Adoption","Cat",1,"Over 3 years",1,27,1,"F"
"8305","A680288","Transfer","Dog",0,"Over 3 years",1,3,0,"M"
"8306","A719215","Transfer","Cat",1,"Less than a year",1,3,1,"F"
"8307","A677046","Euthanasia","Cat",0,"Less than 2 years",1,5,0,"M"
"8308","A712757","Adoption","Cat",1,"Less than a year",1,7,1,"F"
"8310","A693346","Return_to_owner","Dog",1,"Less than a year",1,3,1,"M"
"8311","A664428","Transfer","Cat",0,"Less than a year",1,24,0,"F"
"8312","A702554","Adoption","Dog",0,"Less than a year",1,5,1,"F"
"8315","A690934","Transfer","Cat",0,"Less than a year",1,17,0,"M"
"8316","A683209","Transfer","Cat",1,"Less than a year",1,4,1,"F"
"8318","A680985","Adoption","Cat",1,"Less than a year",1,3,1,"F"
"8321","A719466","Return_to_owner","Dog",1,"Less than 3 years",1,4,1,"M"
"8322","A683153","Transfer","Cat",1,"Less than 2 years",1,24,0,"F"
"8324","A688996","Return_to_owner","Dog",1,"Less than 2 years",1,18,1,"M"
"8325","A684870","Transfer","Cat",0,"Less than a year",1,5,0,"M"
"8326","A672155","Adoption","Cat",1,"Less than a year",1,17,1,"M"
"8327","A713047","Adoption","Dog",0,"Less than a year",1,3,1,"F"
"8328","A674800","Transfer","Cat",0,"Less than a year",1,3,0,"F"
"8329","A711683","Transfer","Cat",1,"Less than a year",1,17,1,"M"
"8330","A693381","Adoption","Cat",1,"Over 3 years",1,25,1,"F"
"8331","A693240","Return_to_owner","Dog",1,"Over 3 years",1,3,1,"M"
"8332","A670195","Euthanasia","Cat",0,"Less than 2 years",1,3,0,"F"
"8335","A678986","Transfer","Cat",0,"Over 3 years",1,25,0,"F"
"8336","A665685","Euthanasia","Dog",0,"Less than 2 years",1,6,0,"F"
"8337","A695637","Adoption","Dog",0,"Less than a year",1,18,1,"M"
"8338","A717911","Transfer","Dog",1,"Less than a year",1,8,1,"F"
"8343","A685314","Transfer","Dog",1,"Over 3 years",1,27,1,"F"
"8346","A677549","Transfer","Cat",0,"Less than a year",1,4,0,"M"
"8347","A690672","Transfer","Cat",0,"Less than a year",1,5,0,"M"
"8348","A713254","Adoption","Cat",1,"Less than a year",1,5,1,"M"
"8349","A663921","Transfer","Dog",1,"Less than a year",1,3,1,"F"
"8350","A682673","Transfer","Dog",1,"Less than 3 years",1,18,0,"M"
"8354","A684348","Transfer","Cat",0,"Less than a year",1,25,0,"F"
"8355","A690452","Transfer","Dog",1,"Less than a year",1,27,1,"M"
"8357","A690732","Adoption","Dog",1,"Over 3 years",1,27,1,"M"
"8358","A697217","Return_to_owner","Dog",1,"Less than 3 years",1,5,0,"M"
"8359","A685629","Return_to_owner","Dog",1,"Less than a year",1,5,1,"M"
"8360","A700106","Transfer","Cat",1,"Less than a year",1,4,1,"M"
"8362","A669943","Adoption","Dog",0,"Less than a year",0,3,1,"M"
"8363","A697609","Return_to_owner","Dog",1,"Over 3 years",0,13,1,"M"
"8364","A710737","Return_to_owner","Dog",1,"Over 3 years",1,4,0,"M"
"8365","A708631","Transfer","Dog",1,"Less than a year",1,3,0,"F"
"8366","A702953","Adoption","Dog",0,"Less than a year",1,3,1,"F"
"8367","A689909","Adoption","Cat",1,"Less than a year",1,17,1,"M"
"8368","A697015","Adoption","Dog",1,"Less than a year",1,3,1,"M"
"8369","A717881","Return_to_owner","Dog",0,"Less than a year",1,5,0,"F"
"8371","A702979","Adoption","Cat",1,"Less than a year",1,3,1,"M"
"8373","A704180","Transfer","Dog",1,"Less than a year",1,9,1,"M"
"8375","A718484","Adoption","Cat",1,"Over 3 years",1,27,1,"M"
"8377","A677163","Return_to_owner","Dog",1,"Less than 2 years",1,3,1,"M"
"8378","A625782","Adoption","Dog",1,"Over 3 years",1,18,1,"F"
"8379","A693561","Return_to_owner","Dog",1,"Less than a year",1,3,0,"F"
"8380","A648775","Transfer","Cat",1,"Less than a year",1,7,1,"F"
"8381","A666790","Adoption","Cat",1,"Less than a year",1,4,1,"M"
"8382","A697639","Adoption","Cat",1,"Less than a year",1,3,1,"F"
"8383","A711696","Return_to_owner","Dog",1,"Less than 3 years",1,26,0,"M"
"8385","A698511","Return_to_owner","Dog",1,"Less than 3 years",1,27,0,"M"
"8387","A585692","Adoption","Dog",1,"Over 3 years",1,3,1,"F"
"8390","A675362","Transfer","Dog",0,"Less than a year",1,9,0,"M"
"8391","A680006","Transfer","Cat",1,"Less than a year",1,4,0,"M"
"8392","A676013","Adoption","Cat",1,"Over 3 years",1,9,1,"M"
"8393","A704996","Transfer","Cat",1,"Less than a year",1,5,0,"F"
"8395","A680143","Transfer","Dog",0,"Less than a year",1,3,0,"M"
"8396","A687738","Transfer","Cat",0,"Less than 2 years",1,25,1,"F"
"8399","A684655","Adoption","Cat",1,"Less than a year",1,27,0,"F"
"8400","A695574","Return_to_owner","Dog",1,"Less than 3 years",1,26,0,"F"
"8401","A662489","Adoption","Cat",1,"Less than a year",1,8,1,"F"
"8402","A676623","Adoption","Dog",1,"Less than a year",1,3,1,"M"
"8403","A699973","Transfer","Dog",0,"Less than a year",1,3,1,"F"
"8404","A694931","Adoption","Dog",1,"Over 3 years",1,18,1,"F"
"8405","A701653","Adoption","Dog",1,"Less than 2 years",1,3,1,"F"
"8406","A688022","Return_to_owner","Dog",1,"Less than a year",1,5,0,"M"
"8407","A664068","Transfer","Cat",0,"Less than a year",1,27,1,"F"
"8408","A688136","Adoption","Dog",1,"Over 3 years",1,27,1,"F"
"8409","A669723","Transfer","Cat",1,"Less than a year",1,7,1,"F"
"8410","A678021","Transfer","Cat",0,"Less than a year",1,5,0,"M"
"8411","A666518","Transfer","Dog",0,"Less than a year",1,5,1,"F"
"8413","A621641","Return_to_owner","Dog",1,"Less than 2 years",1,3,1,"F"
"8415","A695433","Transfer","Cat",0,"Less than a year",1,3,0,"M"
"8418","A686398","Transfer","Dog",0,"Less than a year",1,3,0,"M"
"8419","A689342","Euthanasia","Dog",1,"Less than a year",1,3,1,"M"
"8422","A515347","Return_to_owner","Dog",1,"Over 3 years",1,27,1,"M"
"8423","A709416","Adoption","Cat",1,"Less than 3 years",1,4,1,"M"
"8424","A713264","Return_to_owner","Dog",1,"Less than a year",0,3,0,"M"
"8425","A677301","Euthanasia","Cat",0,"Over 3 years",1,17,0,"M"
"8427","A677481","Transfer","Cat",0,"Less than a year",1,3,0,"M"
"8428","A693174","Adoption","Cat",1,"Less than a year",1,24,1,"F"
"8429","A690384","Transfer","Cat",0,"Less than a year",1,17,0,"M"
"8430","A698961","Adoption","Cat",1,"Less than 2 years",1,17,1,"M"
"8431","A682447","Euthanasia","Cat",0,"Less than a year",1,7,0,"F"
"8432","A668474","Transfer","Cat",0,"Less than 2 years",1,9,0,"F"
"8434","A687870","Return_to_owner","Dog",1,"Less than 2 years",1,8,1,"M"
"8440","A704830","Adoption","Cat",0,"Less than a year",1,27,1,"M"
"8441","A717331","Adoption","Dog",0,"Less than a year",1,18,1,"M"
"8442","A664184","Died","Cat",0,"Less than a year",1,3,0,"M"
"8443","A702447","Transfer","Cat",0,"Less than a year",1,4,0,"F"
"8444","A678128","Adoption","Cat",1,"Less than a year",1,5,1,"F"
"8445","A720526","Adoption","Dog",1,"Less than a year",1,3,1,"F"
"8446","A692404","Return_to_owner","Dog",1,"Over 3 years",1,3,0,"F"
"8449","A718102","Adoption","Cat",1,"Less than a year",1,5,1,"M"
"8451","A686372","Adoption","Dog",1,"Less than a year",1,27,1,"F"
"8453","A664378","Return_to_owner","Dog",1,"Less than 2 years",0,5,0,"M"
"8454","A716840","Return_to_owner","Dog",1,"Less than a year",0,3,1,"M"
"8455","A694195","Adoption","Dog",1,"Less than a year",1,27,1,"M"
"8456","A689097","Adoption","Cat",0,"Less than a year",1,25,1,"F"
"8457","A687721","Adoption","Dog",1,"Less than a year",1,23,1,"F"
"8458","A683436","Adoption","Cat",1,"Over 3 years",1,7,1,"F"
"8460","A699653","Adoption","Dog",1,"Less than a year",1,27,1,"F"
"8462","A707097","Euthanasia","Cat",1,"Less than a year",1,27,1,"F"
"8463","A706609","Transfer","Dog",1,"Less than a year",1,18,0,"M"
"8465","A713119","Transfer","Cat",0,"Less than a year",1,5,0,"F"
"8466","A718971","Return_to_owner","Dog",1,"Over 3 years",1,26,1,"M"
"8468","A687916","Adoption","Dog",1,"Less than 2 years",1,27,1,"M"
"8469","A712617","Adoption","Dog",1,"Over 3 years",1,3,1,"F"
"8470","A675363","Transfer","Dog",0,"Less than a year",1,9,0,"M"
"8471","A689974","Return_to_owner","Dog",1,"Less than a year",1,28,1,"M"
"8473","A682178","Return_to_owner","Dog",0,"Over 3 years",1,8,1,"M"
"8474","A705741","Transfer","Cat",0,"Less than a year",1,24,0,"F"
"8475","A708389","Adoption","Dog",0,"Less than a year",1,3,1,"F"
"8476","A697600","Transfer","Cat",0,"Less than a year",1,17,0,"F"
"8477","A698644","Transfer","Dog",1,"Less than a year",1,18,1,"F"
"8478","A712354","Adoption","Dog",1,"Less than a year",1,27,1,"M"
"8479","A702302","Return_to_owner","Dog",1,"Less than 2 years",1,27,1,"F"
"8480","A684030","Adoption","Cat",1,"Less than a year",1,17,1,"M"
"8481","A693863","Adoption","Dog",1,"Less than a year",1,3,1,"M"
"8482","A634147","Return_to_owner","Dog",1,"Less than 3 years",1,18,1,"F"
"8483","A689553","Adoption","Dog",1,"Less than 2 years",0,20,1,"M"
"8485","A657903","Transfer","Dog",1,"Less than a year",1,27,1,"M"
"8489","A669403","Euthanasia","Cat",0,"Less than a year",1,24,0,"F"
"8490","A714321","Transfer","Cat",0,"Less than a year",1,16,0,"F"
"8491","A692152","Adoption","Cat",1,"Over 3 years",1,5,1,"M"
"8492","A687036","Return_to_owner","Dog",1,"Over 3 years",1,3,1,"F"
"8493","A692020","Transfer","Cat",0,"Less than a year",1,7,0,"F"
"8494","A699517","Adoption","Dog",1,"Less than 2 years",1,23,1,"M"
"8496","A692836","Adoption","Cat",1,"Less than a year",1,3,1,"M"
"8498","A704623","Adoption","Cat",1,"Less than 2 years",1,17,1,"M"
"8499","A711054","Adoption","Dog",1,"Less than a year",1,26,1,"F"
"8500","A570239","Adoption","Dog",1,"Over 3 years",0,27,1,"M"
"8501","A678047","Euthanasia","Dog",1,"Over 3 years",0,5,1,"F"
"8502","A710518","Adoption","Dog",1,"Less than 2 years",1,4,1,"M"
"8503","A695258","Transfer","Cat",0,"Less than a year",1,27,0,"M"
"8504","A694178","Transfer","Dog",1,"Less than a year",1,3,1,"M"
"8505","A710470","Adoption","Dog",1,"Less than 2 years",1,27,1,"F"
"8506","A665560","Adoption","Dog",1,"Less than a year",1,18,1,"M"
"8507","A694406","Return_to_owner","Dog",1,"Over 3 years",1,3,0,"F"
"8508","A684681","Transfer","Cat",0,"Less than a year",1,17,0,"F"
"8510","A664659","Adoption","Dog",1,"Less than a year",1,5,1,"F"
"8511","A673581","Return_to_owner","Dog",1,"Less than a year",1,26,1,"F"
"8513","A679665","Transfer","Dog",0,"Less than a year",1,3,1,"F"
"8515","A698312","Adoption","Cat",1,"Less than a year",0,4,1,"M"
"8516","A715361","Adoption","Cat",0,"Less than a year",1,5,1,"M"
"8517","A714224","Adoption","Dog",1,"Over 3 years",1,4,1,"F"
"8518","A717054","Transfer","Cat",1,"Less than 2 years",1,21,1,"M"
"8519","A673602","Transfer","Cat",0,"Less than a year",1,9,0,"M"
"8520","A703799","Adoption","Cat",1,"Less than a year",1,24,1,"F"
"8522","A681796","Transfer","Dog",0,"Less than 2 years",1,18,0,"F"
"8523","A705579","Adoption","Cat",1,"Less than a year",1,4,1,"M"
"8524","A703165","Adoption","Cat",0,"Less than a year",1,5,1,"F"
"8525","A706461","Adoption","Dog",1,"Less than 2 years",1,5,1,"M"
"8527","A704592","Adoption","Dog",1,"Less than 2 years",1,4,1,"F"
"8528","A703482","Return_to_owner","Dog",1,"Less than 2 years",1,27,1,"F"
"8530","A663987","Adoption","Dog",1,"Less than a year",1,4,1,"F"
"8531","A692468","Transfer","Dog",1,"Less than 3 years",1,5,1,"M"
"8532","A687302","Euthanasia","Dog",1,"Less than 3 years",0,3,1,"M"
"8533","A683077","Transfer","Cat",1,"Less than a year",1,27,0,"M"
"8534","A700995","Return_to_owner","Dog",1,"Less than 2 years",1,27,1,"M"
"8535","A690004","Transfer","Cat",0,"Less than a year",1,3,0,"M"
"8536","A664069","Adoption","Cat",0,"Less than a year",1,27,1,"M"
"8537","A694073","Return_to_owner","Dog",1,"Less than a year",1,18,1,"F"
"8538","A691465","Adoption","Cat",1,"Less than a year",1,3,1,"F"
"8539","A688208","Transfer","Cat",1,"Less than a year",1,5,0,"M"
"8540","A694346","Adoption","Dog",1,"Less than a year",1,8,1,"M"
